product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,discount
1697189,Nghìn Bí Mật Của Gà Con,Claude Ponti,54000,27000,275,Truyện kể cho bé,5,4.6,26,Unknown,0.5
16422526,365 Chuyện Kể Trước Giờ Đi Ngủ - Những Câu Chuyện Phát Triển Chỉ Số Tình Cảm EQ (Tái Bản),Unknown,78000,57000,1219,Truyện kể cho bé,185,4.7,330,Unknown,0.27
1864759,Giáo Trình HSK 3 - Sách Bài Tập (Kèm MP3),Khương Lệ Bình,188000,133001,1627,Sách Học Tiếng Hoa,218,5,168,Nhà Xuất Bản Tổng hợp TP.HCM,0.29
68350215,Combo Chinh Phục Luyện Thi Vào 10 Toán Văn Anh Theo Chủ Đề,Nhiều tác giả,477000,306000,1090,Others,344,5,330,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,0.36
51251660,Chữa Lành Ánh Sáng Bản Thể,Barbara Ann Brennan,220000,154000,2058,Kiến Thức Bách Khoa,245,4.8,567,Nhà Xuất Bản Thế Giới,0.3
197704314,Tri Kỷ Của Bụt (TBL5),Thích Nhất Hạnh,165000,147000,54,Others,3,5,332,Nhà Xuất Bản Thế Giới,0.11
73176340,Combo 10 cuốn Truyện Ngụ ngôn Aesop Song ngữ - Truyện kể mầm non (giao ngẫu nhiên), ,103635,56999,901,Truyện kể cho bé,153,4.8,16,Nhà Xuất Bản Đồng Nai,0.45
195801644,Black Jack - Tập 13 (Bìa Cứng),Osamu Tezuka,135000,117400,261,Others,27,5,330,NXB Trẻ,0.13
193994147,MADE IN VIETNAM ,Unknown,279000,279000,88,Sách khởi nghiệp,9,5,328,Nhà Xuất Bản Thanh Niên,0
186088881,Ủ Một Miền Thơm,Vũ Thượng,110000,73700,180,Truyện ngắn - Tản văn - Tạp Văn,22,5,188,Nhà Xuất Bản Dân Trí,0.33
198644085,Poco Ở Thế Giới Udon 6 - Một Mùa Thu Sóng Gió,Nodoka Shinomaru,58000,50000,116,Others,12,5,192,Nhà Xuất Bản Phụ Nữ,0.14
4363785,Animorphs - Người Hóa Thú (Tập 4) : Thông Điệp,Katherine Applegate,63000,45800,15,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,7,4.7,164,Unknown,0.27
11735262,Kinh Dịch Trọn Bộ (Bìa Cứng) - Ngô Tất Tố (Tái Bản 2019),Ngô Tất Tố,195000,195000,117,Sách Phong Thủy - Kinh Dịch,17,4.7,720,Nhà Xuất Bản Hồng Đức,0
141531685,Boxset Trọn Bộ 21 Tập: Assassination Classroom,Yusei Matsui,900000,719900,1210,Others,505,4.6,184,NXB Trẻ,0.2
